Date,Source,Production,Start_Hour,End_Hour,Day_of_Year
12/27/2022,Wind,4677,9,10,361
12/3/2021,Wind,11102,18,19,337
4/4/2023,Solar,10833,15,16,94
3/28/2024,Wind,15504,7,8,88
12/23/2022,Wind,11216,0,1,357
4/27/2025,Wind,3364,22,23,117
4/20/2020,Wind,5506,0,1,111
10/17/2022,Wind,6996,12,13,290
1/2/2025,Wind,12035,0,1,2
7/24/2020,Solar,6901,15,16,206
11/21/2020,Wind,4830,10,11,326
8/22/2022,Wind,2515,19,20,234
12/29/2022,Wind,11261,4,5,363
11/11/2022,Wind,4623,23,0,315
7/15/2021,Wind,5085,23,0,196
6/29/2020,Wind,8918,18,19,181
11/2/2020,Wind,8515,17,18,307
6/8/2022,Wind,10122,14,15,159
11/27/2020,Wind,1637,1,2,332
3/1/2022,Wind,1775,18,19,60
8/19/2025,Solar,6355,16,17,231
11/13/2022,Wind,2673,22,23,317
11/6/2025,Wind,2696,21,22,310
7/13/2022,Solar,6334,12,13,194
12/27/2021,Wind,8156,9,10,361
10/25/2021,Wind,3029,20,21,298
9/12/2023,Wind,705,4,5,255
4/2/2023,Wind,8890,4,5,92
9/28/2021,Wind,2108,2,3,271
5/17/2024,Solar,7184,14,15,138
11/13/2025,Wind,12913,1,2,317
10/13/2020,Wind,5579,16,17,287
2/17/2021,Wind,7964,22,23,48
10/9/2020,Wind,3322,18,19,283
2/19/2025,Wind,7629,20,21,50
11/16/2021,Wind,1087,16,17,320
12/30/2020,Wind,5476,23,0,365
7/14/2022,Solar,8923,14,15,195
3/19/2023,Wind,7895,13,14,78
7/24/2024,Solar,6845,11,12,206
10/31/2024,Wind,1073,20,21,305
5/9/2023,Wind,7431,19,20,129
3/9/2021,Wind,2088,6,7,68
5/6/2024,Wind,3270,20,21,127
10/26/2022,Wind,3223,17,18,299
12/7/2021,Wind,11221,12,13,341
5/5/2024,Wind,2081,23,0,126
4/23/2023,Wind,14741,18,19,113
11/2/2022,Wind,7737,19,20,306
3/14/2021,Wind,13538,15,16,73
11/29/2021,Wind,3702,10,11,333
6/14/2025,Solar,4546,14,15,165
4/28/2024,Wind,7916,9,10,119
5/13/2020,Wind,3264,1,2,134
6/4/2025,Solar,8625,16,17,155
6/23/2024,Solar,4144,12,13,175
1/24/2024,Wind,15539,10,11,24
10/14/2021,Wind,1720,4,5,287
10/8/2021,Wind,5380,23,0,281
3/17/2023,Wind,6418,23,0,76
8/28/2023,Wind,2801,5,6,240
9/7/2022,Solar,7186,12,13,250
12/23/2023,Wind,15819,11,12,357
8/5/2023,Wind,11382,10,11,217
5/28/2023,Wind,9894,23,0,148
7/20/2022,Wind,3765,1,2,201
1/18/2023,Wind,4661,2,3,18
9/29/2024,Wind,1731,2,3,273
2/23/2024,Wind,16403,12,13,54
10/4/2021,Wind,7024,23,0,277
10/20/2025,Wind,13425,0,1,293
3/24/2023,Wind,12405,8,9,83
7/23/2020,Solar,1954,18,19,205
5/13/2020,Wind,7165,23,0,134
9/6/2022,Wind,2214,23,0,249
2/17/2021,Wind,7775,7,8,48
5/29/2021,Solar,6169,12,13,149
7/25/2024,Wind,2257,21,22,207
4/16/2022,Wind,6001,20,21,106
7/28/2020,Wind,4107,5,6,210
5/31/2021,Wind,3587,19,20,151
6/27/2024,Wind,4170,21,22,179
10/23/2021,Wind,3701,22,23,296
11/22/2022,Wind,10307,20,21,326
3/26/2020,Wind,4960,20,21,86
8/9/2020,Wind,963,7,8,222
11/23/2025,Wind,6568,22,23,327
6/17/2022,Wind,3147,3,4,168
9/6/2020,Wind,1309,6,7,250
1/8/2023,Wind,13363,12,13,8
5/27/2020,Wind,4422,2,3,148
12/29/2023,Wind,15941,12,13,363
1/6/2022,Wind,2846,3,4,6
3/8/2025,Wind,10805,0,1,67
6/25/2023,Solar,8815,16,17,176
10/31/2023,Wind,11825,12,13,304
4/18/2021,Wind,2893,7,8,108
5/5/2020,Wind,6849,14,15,126
5/3/2023,Solar,7624,9,10,123
9/3/2023,Wind,5905,19,20,246
10/25/2024,Wind,1798,21,22,299
5/11/2022,Wind,3550,6,7,131
1/30/2025,Wind,8803,14,15,30
4/29/2020,Wind,4808,5,6,120
4/3/2020,Wind,2053,5,6,94
5/14/2020,Wind,7248,1,2,135
8/22/2020,Wind,7218,9,10,235
4/24/2021,Wind,6192,19,20,114
6/26/2025,Wind,14166,17,18,177
10/7/2020,Wind,4044,20,21,281
2/11/2020,Wind,14541,13,14,42
10/21/2024,Wind,6386,23,0,295
8/7/2022,Wind,5411,8,9,219
